Date,GunDeaths
2013-01-01,66
2013-01-02,28
2013-01-03,30
2013-01-04,43
2013-01-05,50
2013-01-06,27
2013-01-07,46
2013-01-08,31
2013-01-09,28
2013-01-10,51
2013-01-11,55
2013-01-12,32
2013-01-13,47
2013-01-14,31
2013-01-15,40
2013-01-16,39
2013-01-17,31
2013-01-18,31
2013-01-19,41
2013-01-20,33
2013-01-21,33
2013-01-22,28
2013-01-23,21
2013-01-24,31
2013-01-25,33
2013-01-26,38
2013-01-27,27
2013-01-28,38
2013-01-29,42
2013-01-30,33
2013-01-31,16
2013-02-01,31
2013-02-02,36
2013-02-03,37
2013-02-04,28
2013-02-05,31
2013-02-06,28
2013-02-07,22
2013-02-08,24
2013-02-09,26
2013-02-10,26
2013-02-11,33
2013-02-12,28
2013-02-13,23
2013-02-14,27
2013-02-15,27
2013-02-16,34
2013-02-17,24
2013-02-18,30
2013-02-19,48
2013-02-20,31
2013-02-21,32
2013-02-22,19
2013-02-23,36
2013-02-24,39
2013-02-25,22
2013-02-26,29
2013-02-27,24
2013-02-28,32
2013-03-01,15
2013-03-02,38
2013-03-03,30
2013-03-04,34
2013-03-05,22
2013-03-06,31
2013-03-07,30
2013-03-08,34
2013-03-09,31
2013-03-10,34
2013-03-11,22
2013-03-12,32
2013-03-13,23
2013-03-14,43
2013-03-15,26
2013-03-16,29
2013-03-17,37
2013-03-18,24
2013-03-19,41
2013-03-20,30
2013-03-21,34
2013-03-22,31
2013-03-23,25
2013-03-24,36
2013-03-25,26
2013-03-26,25
2013-03-27,26
2013-03-28,25
2013-03-29,37
2013-03-30,46
2013-03-31,42
2013-04-01,17
2013-04-02,19
2013-04-03,22
2013-04-04,15
2013-04-05,24
2013-04-06,27
2013-04-07,37
2013-04-08,27
2013-04-09,21
2013-04-10,37
2013-04-11,16
2013-04-12,26
2013-04-13,25
2013-04-14,25
2013-04-15,22
2013-04-16,19
2013-04-17,25
2013-04-18,25
2013-04-19,28
2013-04-20,35
2013-04-21,25
2013-04-22,37
2013-04-23,24
2013-04-24,43
2013-04-25,20
2013-04-26,22
2013-04-27,34
2013-04-28,21
2013-04-29,29
2013-04-30,22
2013-05-01,36
2013-05-02,22
2013-05-03,26
2013-05-04,28
2013-05-05,28
2013-05-06,26
2013-05-07,26
2013-05-08,24
2013-05-09,19
2013-05-10,31
2013-05-11,28
2013-05-12,23
2013-05-13,20
2013-05-14,21
2013-05-15,15
2013-05-16,28
2013-05-17,28
2013-05-18,32
2013-05-19,24
2013-05-20,15
2013-05-21,25
2013-05-22,21
2013-05-23,32
2013-05-24,23
2013-05-25,36
2013-05-26,35
2013-05-27,22
2013-05-28,17
2013-05-29,25
2013-05-30,24
2013-05-31,14
2013-06-01,25
2013-06-02,32
2013-06-03,17
2013-06-04,26
2013-06-05,30
2013-06-06,21
2013-06-07,26
2013-06-08,41
2013-06-09,36
2013-06-10,22
2013-06-11,30
2013-06-12,39
2013-06-13,22
2013-06-14,25
2013-06-15,35
2013-06-16,53
2013-06-17,27
2013-06-18,28
2013-06-19,28
2013-06-20,18
2013-06-21,25
2013-06-22,43
2013-06-23,45
2013-06-24,48
2013-06-25,34
2013-06-26,32
2013-06-27,38
2013-06-28,36
2013-06-29,36
2013-06-30,47
2013-07-01,35
2013-07-02,36
2013-07-03,26
2013-07-04,52
2013-07-05,51
2013-07-06,50
2013-07-07,42
2013-07-08,35
2013-07-09,30
2013-07-10,24
2013-07-11,33
2013-07-12,32
2013-07-13,46
2013-07-14,47
2013-07-15,38
2013-07-16,31
2013-07-17,27
2013-07-18,27
2013-07-19,33
2013-07-20,50
2013-07-21,39
2013-07-22,41
2013-07-23,33
2013-07-24,34
2013-07-25,29
2013-07-26,34
2013-07-27,24
2013-07-28,39
2013-07-29,36
2013-07-30,36
2013-07-31,30
2013-08-01,29
2013-08-02,34
2013-08-03,41
2013-08-04,34
2013-08-05,35
2013-08-06,27
2013-08-07,30
2013-08-08,18
2013-08-09,37
2013-08-10,46
2013-08-11,42
2013-08-12,28
2013-08-13,32
2013-08-14,28
2013-08-15,26
2013-08-16,38
2013-08-17,37
2013-08-18,37
2013-08-19,34
2013-08-20,26
2013-08-21,26
2013-08-22,42
2013-08-23,29
2013-08-24,33
2013-08-25,43
2013-08-26,32
2013-08-27,23
2013-08-28,28
2013-08-29,32
2013-08-30,39
2013-08-31,48
2013-09-01,49
2013-09-02,39
2013-09-03,15
2013-09-04,27
2013-09-05,20
2013-09-06,25
2013-09-07,32
2013-09-08,32
2013-09-09,23
2013-09-10,21
2013-09-11,25
2013-09-12,26
2013-09-13,27
2013-09-14,33
2013-09-15,36
2013-09-16,37
2013-09-17,22
2013-09-18,31
2013-09-19,32
2013-09-20,36
2013-09-21,43
2013-09-22,49
2013-09-23,33
2013-09-24,30
2013-09-25,25
2013-09-26,38
2013-09-27,25
2013-09-28,35
2013-09-29,22
2013-09-30,30
2013-10-01,28
2013-10-02,31
2013-10-03,25
2013-10-04,38
2013-10-05,36
2013-10-06,32
2013-10-07,25
2013-10-08,31
2013-10-09,34
2013-10-10,19
2013-10-11,42
2013-10-12,32
2013-10-13,49
2013-10-14,30
2013-10-15,29
2013-10-16,27
2013-10-17,32
2013-10-18,34
2013-10-19,31
2013-10-20,52
2013-10-21,33
2013-10-22,31
2013-10-23,21
2013-10-24,19
2013-10-25,28
2013-10-26,42
2013-10-27,43
2013-10-28,35
2013-10-29,38
2013-10-30,27
2013-10-31,38
2013-11-01,39
2013-11-02,27
2013-11-03,40
2013-11-04,28
2013-11-05,41
2013-11-06,36
2013-11-07,24
2013-11-08,30
2013-11-09,47
2013-11-10,26
2013-11-11,29
2013-11-12,25
2013-11-13,33
2013-11-14,30
2013-11-15,39
2013-11-16,35
2013-11-17,42
2013-11-18,33
2013-11-19,22
2013-11-20,45
2013-11-21,35
2013-11-22,32
2013-11-23,47
2013-11-24,28
2013-11-25,30
2013-11-26,30
2013-11-27,28
2013-11-28,25
2013-11-29,26
2013-11-30,53
2013-12-01,43
2013-12-02,38
2013-12-03,31
2013-12-04,29
2013-12-05,32
2013-12-06,26
2013-12-07,41
2013-12-08,35
2013-12-09,22
2013-12-10,32
2013-12-11,27
2013-12-12,21
2013-12-13,36
2013-12-14,28
2013-12-15,26
2013-12-16,23
2013-12-17,23
2013-12-18,28
2013-12-19,28
2013-12-20,25
2013-12-21,34
2013-12-22,30
2013-12-23,24
2013-12-24,22
2013-12-25,36
2013-12-26,29
2013-12-27,21
2013-12-28,35
2013-12-29,42
2013-12-30,21
2013-12-31,31
